Course Code,SIS Student ID,Attendance,Count
ACC  2301 01 in 09/104,150885,absent,1
ACC  2301 01 in 09/104,154929,absent,1
ACC  2301 04 in 04/007,109466,absent,1
ACC  2301 04 in 04/007,144802,absent,1
ACC  2301 04 in 04/007,145356,absent,1
ACC  2301 04 in 04/007,96120,absent,1
ACC  2301 04 in 04/101,100765,absent,1
ACC  2301 04 in 04/101,119973,absent,1
ACC  2301 04 in 04/101,121861,absent,1
ACC  2301 04 in 04/101,122465,absent,1
ACC  2301 04 in 04/101,143276,absent,1
ACC  2301 04 in 04/101,145464,absent,1
ACC  2301 04 in 04/101,148275,absent,1
ACC  2301 04 in 04/101,148725,absent,1
ACC  2301 04 in 04/101,150788,absent,1
ACC  2301 05 in 08/013,122465,absent,1
ACC  2301 05 in 08/013,123764,late,1
ACC  2301 05 in 08/013,141142,absent,1
ACC  2301 05 in 08/013,142767,absent,1
ACC  2301 05 in 08/013,84207,absent,1
ACC  2301 05 in 08/013,84582,absent,1
ACC  2302 01 in 04/001,114034,absent,1
ACC  2302 02 in 07/002,104233,absent,1
ACC  2302 02 in 07/002,115139,absent,1
ACC  2302 02 in 07/002,118067,absent,1
ACC  2302 02 in 07/002,121929,absent,1
ACC  2302 02 in 07/002,124513,absent,1
ACC  2302 02 in 07/002,147802,absent,1
ACC  2302 02 in 07/002,156678,absent,1
ACC  2302 03 in 04/105,98931,absent,1
ACC  2302 04 in 04/002,107805,absent,1
ACC  2302 04 in 04/002,137583,absent,1
ACC  2302 04 in 04/002,140552,absent,1
ACC  2302 04 in 04/002,141774,absent,1
ACC  2302 04 in 04/002,86363,late,1
ACC  2302 05 in 10/107,101121,absent,1
ACC  2302 05 in 10/107,103111,absent,1
ACC  4305 01 in 11/105,100736,late,1
ACC  4305 01 in 11/105,105472,late,1
ACC  4305 01 in 11/105,94353,late,1
ALS  1001 02 in 08B/103,135904,absent,1
ALS  1001 02 in 08B/103,148824,absent,1
ALS  1001 02 in 08B/103,153278,absent,1
ALS  1001 02 in 08B/103,156549,absent,1
ALS  1001 02 in 08B/103,157090,absent,1
ALS  1001 02 in 08B/103,157310,absent,1
ALS  1002 02 in 08B/107,145159,late,1
ALS  1002 02 in 08B/107,145795,late,1
ALS  1002 02 in 08B/107,154492,absent,1
ALS  1002 02 in 08B/107,155831,absent,1
ALS  1002 02 in 08B/107,156623,late,1
ALS  1002 05 in 08B/218,148488,absent,1
ALS  1002 05 in 08B/218,154381,absent,1
ALS  1002 05 in 08B/218,155647,absent,1
ALS  1002 06 in 08/111,92629,absent,1
ALS  1002 09 in 05/107,145282,absent,1
ALS  1002 09 in 05/107,149646,absent,1
ARB  1241 10 in 08B/112,154113,absent,1
ARB  1241 10 in 08B/112,157495,absent,1
ARB  1241 10 in 08B/112,159502,absent,1
ARB  1241 11 in 08B/111,155214,absent,1
ARB  1241 11 in 08B/111,158245,absent,1
ARB  1241 12 in 10/107,140098,absent,1
ARB  1241 12 in 10/107,154777,absent,1
ARD  1001 04 in 08B/101,153893,absent,1
