Course Code,SIS Student ID,Attendance,Class Date
ENG  2320 05 in 08/114,120995,present,2024-02-08
MTH  2320 06 in 04/001,66470,present,2024-02-08
SCI  1300 01 in 07/003,120172,present,2024-02-08
SCI  1300 01 in 07/003,142236,present,2024-02-08
SCI  1300 01 in 07/003,119510,present,2024-02-08
SCI  1300 01 in 07/003,83417,present,2024-02-08
SCI  1300 01 in 07/003,97010,present,2024-02-08
SCI  1300 01 in 07/003,86594,present,2024-02-08
SCI  1300 01 in 07/003,96790,present,2024-02-08
SCI  1300 01 in 07/003,96789,present,2024-02-08
SCI  1300 01 in 07/003,111328,present,2024-02-08
SCI  1300 01 in 07/003,98285,present,2024-02-08
SCI  1300 01 in 07/003,100647,present,2024-02-08
SCI  1300 01 in 07/003,117101,present,2024-02-08
SCI  1300 01 in 07/003,124951,present,2024-02-08
SCI  1300 01 in 07/003,94189,present,2024-02-08
SCI  1300 01 in 07/003,94945,present,2024-02-08
SCI  1300 01 in 07/003,142909,present,2024-02-08
SCI  1300 01 in 07/003,83072,present,2024-02-08
SCI  1300 01 in 07/003,98698,present,2024-02-08
SCI  1300 01 in 07/003,86107,present,2024-02-08
SCI  1300 01 in 07/003,81428,present,2024-02-08
SCI  1300 01 in 07/003,102206,present,2024-02-08
SCI  1300 01 in 07/003,122208,present,2024-02-08
SCI  1300 01 in 07/003,81503,present,2024-02-08
SCI  1300 01 in 07/003,125364,present,2024-02-08
MTH  2320 06 in 04/001,101036,absent,2024-02-08
SCI  1300 01 in 07/003,84785,present,2024-02-08
MTH  2320 06 in 04/001,97639,present,2024-02-08
MTH  2320 06 in 04/001,108255,present,2024-02-08
MTH  2320 06 in 04/001,119508,present,2024-02-08
MTH  2320 06 in 04/001,122344,present,2024-02-08
MTH  2320 06 in 04/001,121606,present,2024-02-08
MTH  2320 06 in 04/001,120242,present,2024-02-08
MTH  2320 06 in 04/001,119509,present,2024-02-08
MTH  2320 06 in 04/001,137419,present,2024-02-08
MTH  2320 06 in 04/001,139844,present,2024-02-08
MTH  2320 06 in 04/001,112395,absent,2024-02-08
MTH  2320 06 in 04/001,86036,present,2024-02-08
MTH  2320 06 in 04/001,90461,present,2024-02-08
MTH  2320 06 in 04/001,85435,present,2024-02-08
MTH  2320 06 in 04/001,141853,absent,2024-02-08
MTH  2320 06 in 04/001,120373,present,2024-02-08
MTH  2320 06 in 04/001,102913,absent,2024-02-08
MTH  2320 06 in 04/001,118609,absent,2024-02-08
MTH  2320 06 in 04/001,120354,present,2024-02-08
MTH  2320 06 in 04/001,120481,present,2024-02-08
MTH  2320 06 in 04/001,120506,present,2024-02-08
MTH  2320 06 in 04/001,117459,absent,2024-02-08
MTH  2320 06 in 04/001,125000,present,2024-02-08
MTH  2320 06 in 04/001,138141,present,2024-02-08
MTH  2320 06 in 04/001,99976,present,2024-02-08
MTH  2320 06 in 04/001,86365,absent,2024-02-08
MTH  2320 06 in 04/001,123095,present,2024-02-08
MTH  2320 06 in 04/001,136062,present,2024-02-08
MTH  2320 06 in 04/001,109181,present,2024-02-08
MTH  2320 06 in 04/001,100552,present,2024-02-08
SCI  1300 01 in 07/003,84085,present,2024-02-08
SCI  1300 01 in 07/003,157013,absent,2024-02-08
MGT  4303 04 in 04/104,85788,present,2024-02-08
MGT  4303 04 in 04/104,104210,present,2024-02-08
MGT  4303 04 in 04/104,102984,present,2024-02-08
MGT  4303 04 in 04/104,107490,present,2024-02-08
MGT  4303 04 in 04/104,84141,present,2024-02-08
MGT  4303 04 in 04/104,85860,present,2024-02-08
MGT  4303 04 in 04/104,84678,present,2024-02-08
MGT  4303 04 in 04/104,81446,present,2024-02-08
MGT  4303 04 in 04/104,84458,present,2024-02-08
MTH  2320 05 in 09/104,112669,present,2024-02-08
MTH  2320 05 in 09/104,85807,absent,2024-02-08
MTH  2320 05 in 09/104,121535,present,2024-02-08
MTH  2320 05 in 09/104,120625,present,2024-02-08
MTH  2320 05 in 09/104,105769,present,2024-02-08
MTH  2320 05 in 09/104,123367,present,2024-02-08
MTH  2320 05 in 09/104,119786,present,2024-02-08
MTH  2320 05 in 09/104,105803,present,2024-02-08
MTH  2320 05 in 09/104,136114,present,2024-02-08
MTH  2320 05 in 09/104,125324,present,2024-02-08
MTH  2320 05 in 09/104,109328,present,2024-02-08
MTH  2320 05 in 09/104,118616,present,2024-02-08
MTH  2320 05 in 09/104,103261,present,2024-02-08
MTH  2320 05 in 09/104,121309,present,2024-02-08
MTH  2320 05 in 09/104,119114,present,2024-02-08
MTH  2320 05 in 09/104,119468,present,2024-02-08
MGT  4303 04 in 04/104,84293,present,2024-02-08
SCI  1300 01 in 07/003,81529,present,2024-02-08
MGT  4303 04 in 04/104,83124,present,2024-02-08
MGT  4303 04 in 04/104,100926,present,2024-02-08
SCI  1300 01 in 07/003,122339,present,2024-02-08
SCI  1300 01 in 07/003,84530,present,2024-02-08
SCI  1300 01 in 07/003,87387,present,2024-02-08
SCI  1300 01 in 07/003,94661,present,2024-02-08
MGT  4303 04 in 04/104,115886,present,2024-02-08
MGT  4303 04 in 04/104,102042,present,2024-02-08
MGT  4303 04 in 04/104,110571,present,2024-02-08
MGT  4303 04 in 04/104,85228,present,2024-02-08
MGT  4303 04 in 04/104,107059,present,2024-02-08
MGT  4303 04 in 04/104,77762,present,2024-02-08
MGT  4303 04 in 04/104,93974,present,2024-02-08
MGT  4303 04 in 04/104,103322,present,2024-02-08
MGT  4303 04 in 04/104,84346,present,2024-02-08
MGT  4303 04 in 04/104,86371,present,2024-02-08
MGT  4303 04 in 04/104,102136,present,2024-02-08
MGT  4303 04 in 04/104,98654,present,2024-02-08
MGT  4303 04 in 04/104,100737,present,2024-02-08
MGT  4303 04 in 04/104,97271,present,2024-02-08
MGT  4303 04 in 04/104,93046,present,2024-02-08
